item_id,user_id,item_name,category,brand,price,condition,rating,views,purchased,recommend_score,timestamp
ITM00000,USR8270,Smartwatch,Toys,Chanel,430.26,New,3,755,0,0.348,57:55.5
ITM00001,USR1860,Sneakers,Toys,Apple,252.53,Used,2,827,1,0.412,57:55.5
ITM00002,USR6390,Desk Lamp,Toys,LG,339.07,Refurbished,1,946,0,0.932,57:55.5
ITM00003,USR6191,Smartphone,Toys,Chanel,123.34,New,3,981,1,0.302,57:55.5
ITM00004,USR6734,Novel Book,Sports,Apple,380.23,Like New,2,268,1,0.868,57:55.5
ITM00005,USR7265,Novel Book,Sports,LG,381.2,Refurbished,1,476,1,0.505,57:55.5
ITM00006,USR1466,Wireless Headphones,Fashion,Puma,159.74,Used,4,253,0,0.886,57:55.5
ITM00007,USR5426,Desk Lamp,Home,Adidas,208.29,Used,2,396,0,0.702,57:55.5
ITM00008,USR6578,Backpack,Books,LG,108.8,Used,2,289,0,0.708,57:55.5
ITM00009,USR9322,Backpack,Sports,Dell,488.4,New,1,212,0,0.519,57:55.5
ITM00010,USR2685,Bluetooth Speaker,Beauty,Samsung,324.57,Refurbished,2,689,1,0.84,57:55.5
ITM00011,USR1769,Smartwatch,Electronics,Samsung,467.6,Like New,3,21,1,0.254,57:55.5
ITM00012,USR7949,Wireless Headphones,Fashion,Chanel,155.18,New,2,316,0,0.907,57:55.5
ITM00013,USR3433,Wireless Headphones,Sports,Sony,392.04,Refurbished,5,564,0,0.637,57:55.5
ITM00014,USR6311,Backpack,Toys,IKEA,384.1,Like New,3,438,0,0.439,57:55.5
ITM00015,USR6051,Sneakers,Sports,Chanel,347.37,Refurbished,1,423,0,0.982,57:55.5
ITM00016,USR7420,Smartwatch,Fashion,Nike,482.99,Refurbished,3,233,1,0.862,57:55.5
ITM00017,USR2184,Backpack,Toys,Sony,199.81,New,5,945,0,0.772,57:55.5
ITM00018,USR5555,Desk Lamp,Electronics,IKEA,69.71,Like New,5,123,0,0.274,57:55.5
ITM00019,USR4385,Novel Book,Fashion,Apple,337.5,Refurbished,2,874,0,0.974,57:55.5
ITM00020,USR7396,Bluetooth Speaker,Fashion,Puma,366.01,Like New,2,960,1,0.743,57:55.5
ITM00021,USR9666,Backpack,Toys,Samsung,289.65,Like New,4,612,0,0.605,57:55.5
ITM00022,USR3558,Soccer Ball,Home,IKEA,107.37,Refurbished,3,214,1,0.922,57:55.5
ITM00023,USR8849,Bluetooth Speaker,Electronics,Samsung,254.71,Refurbished,4,922,1,0.162,57:55.5
ITM00024,USR3047,Novel Book,Electronics,Nike,159.53,Refurbished,5,839,0,0.139,57:55.5
ITM00025,USR3747,Desk Lamp,Books,Sony,216.6,Like New,2,647,0,0.564,57:55.5
ITM00026,USR1189,Smartwatch,Beauty,Puma,324.38,Used,2,968,0,0.057,57:55.5
ITM00027,USR3734,Smartphone,Sports,Dell,373.88,Refurbished,2,830,0,0.664,57:55.5
ITM00028,USR4005,Backpack,Toys,Samsung,119.95,Used,1,730,1,0.241,57:55.5
ITM00029,USR5658,Sneakers,Sports,Dell,205.64,Refurbished,5,600,0,0.119,57:55.5
ITM00030,USR2899,Novel Book,Home,Sony,138.23,New,2,792,0,0.409,57:55.5
ITM00031,USR8734,Bluetooth Speaker,Home,Dell,103.32,Refurbished,5,40,0,0.466,57:55.5
ITM00032,USR2267,Desk Lamp,Sports,Nike,392.78,Used,2,752,0,0.17,57:55.5
ITM00033,USR2528,Wireless Headphones,Beauty,Adidas,455.08,New,3,332,0,0.042,57:55.5
ITM00034,USR4556,Sneakers,Sports,IKEA,188.26,Refurbished,5,943,0,0.414,57:55.5
ITM00035,USR4890,Lipstick,Home,Samsung,376.88,Like New,4,648,0,0.76,57:55.5
ITM00036,USR9838,Smartwatch,Sports,Dell,449.01,Refurbished,1,182,0,0.874,57:55.5
ITM00037,USR6393,Backpack,Toys,Chanel,423.83,Like New,4,265,0,0.098,57:55.5
ITM00038,USR9792,Smartphone,Fashion,Puma,95.49,Refurbished,5,771,0,0.525,57:55.5
ITM00039,USR9433,Novel Book,Books,LG,478.36,New,2,694,0,0.263,57:55.5
ITM00040,USR8513,Soccer Ball,Sports,Apple,191.45,Used,5,533,1,0.375,57:55.5
ITM00041,USR3612,Lipstick,Fashion,Samsung,172.92,New,1,863,0,0.933,57:55.5
ITM00042,USR8041,Sneakers,Electronics,Adidas,35.9,New,5,432,0,0.352,57:55.5
ITM00043,USR7235,Smartphone,Books,Adidas,245.66,Refurbished,2,943,0,0.365,57:55.5
ITM00044,USR6486,Soccer Ball,Toys,Apple,58.96,New,4,984,0,0.209,57:55.5
ITM00045,USR8099,Sneakers,Books,Nike,128.03,Like New,3,196,0,0.96,57:55.5
ITM00046,USR1775,Desk Lamp,Fashion,Dell,161.89,New,4,724,1,0.456,57:55.5
ITM00047,USR9226,Backpack,Fashion,LG,405.37,Refurbished,2,509,0,0.57,57:55.5
ITM00048,USR4152,Soccer Ball,Toys,IKEA,438.37,Used,2,447,0,0.453,57:55.5
ITM00049,USR2585,Smartphone,Beauty,Puma,154.72,New,1,528,0,0.253,57:55.5
ITM00050,USR4943,Desk Lamp,Books,Nike,430.06,New,5,202,0,0.81,57:55.5
ITM00051,USR8555,Novel Book,Toys,Puma,429.33,Like New,5,875,0,0.028,57:55.5
ITM00052,USR4073,Backpack,Books,Dell,383.5,Refurbished,4,730,0,0.69,57:55.5
ITM00053,USR2021,Backpack,Books,LG,77.61,Refurbished,3,605,1,0.594,57:55.5
ITM00054,USR4843,Lipstick,Electronics,Nike,346.71,Refurbished,3,133,0,0.144,57:55.5
ITM00055,USR8989,Novel Book,Beauty,Sony,472.79,Like New,1,139,0,0.166,57:55.5
ITM00056,USR7873,Soccer Ball,Home,Sony,342.86,Refurbished,2,669,1,0.659,57:55.5
ITM00057,USR6675,Smartwatch,Fashion,LG,169.15,Refurbished,1,493,1,0.312,57:55.5
ITM00058,USR1161,Smartwatch,Home,LG,252.79,Like New,5,847,1,0.266,57:55.5
ITM00059,USR5297,Desk Lamp,Toys,Sony,324.63,New,2,70,0,0.059,57:55.5
ITM00060,USR1995,Bluetooth Speaker,Toys,Chanel,257.73,Like New,1,816,0,0.766,57:55.5
ITM00061,USR8629,Lipstick,Books,Dell,64.38,New,4,15,1,0.883,57:55.5
ITM00062,USR2016,Novel Book,Electronics,IKEA,159.47,New,5,747,0,0.82,57:55.5
ITM00063,USR8869,Bluetooth Speaker,Fashion,Apple,402.19,Refurbished,3,212,0,0.466,57:55.5
ITM00064,USR7439,Smartwatch,Beauty,Apple,431.4,Used,1,802,1,0.534,57:55.5
ITM00065,USR8892,Sneakers,Beauty,Nike,72.96,Used,5,60,0,0.242,57:55.5
ITM00066,USR7863,Desk Lamp,Toys,Adidas,476.43,Like New,5,252,1,0.173,57:55.5
ITM00067,USR8916,Lipstick,Electronics,Samsung,167.77,Like New,3,446,1,0.823,57:55.5
ITM00068,USR9529,Sneakers,Beauty,IKEA,332.85,Like New,3,2,1,0.798,57:55.5
ITM00069,USR1878,Backpack,Home,Adidas,377.15,New,3,748,0,0.777,57:55.5
ITM00070,USR5887,Bluetooth Speaker,Electronics,Puma,406.91,Refurbished,1,336,0,0.463,57:55.5
ITM00071,USR5859,Desk Lamp,Books,Samsung,473.15,Refurbished,3,19,1,0.865,57:55.5
ITM00072,USR7331,Smartphone,Sports,LG,159.9,Used,4,994,1,0.926,57:55.5
ITM00073,USR9571,Smartwatch,Toys,Apple,429.96,Used,5,561,0,0.328,57:55.5
ITM00074,USR9684,Novel Book,Fashion,LG,70.19,Refurbished,3,78,0,0.225,57:55.5
ITM00075,USR8208,Sneakers,Toys,Dell,354,New,5,472,1,0.464,57:55.5
ITM00076,USR6276,Smartwatch,Sports,Adidas,372.28,New,2,28,0,0.179,57:55.5
ITM00077,USR3062,Desk Lamp,Beauty,Apple,340.47,Like New,2,560,0,0.884,57:55.5
ITM00078,USR1064,Soccer Ball,Toys,LG,129.9,New,3,608,0,0.338,57:55.5
ITM00079,USR9006,Smartwatch,Fashion,Chanel,437.16,Like New,5,165,0,0.576,57:55.5
ITM00080,USR3568,Smartphone,Fashion,Puma,88.58,Like New,2,458,1,0.595,57:55.5
ITM00081,USR6463,Novel Book,Sports,Nike,31.55,Like New,3,945,0,0.515,57:55.5
ITM00082,USR3027,Lipstick,Beauty,Adidas,360.15,Like New,5,877,0,0.157,57:55.5
ITM00083,USR3695,Wireless Headphones,Beauty,Nike,240.36,Like New,3,176,0,0.991,57:55.5
ITM00084,USR6258,Smartphone,Electronics,Adidas,425.3,New,5,585,0,0.173,57:55.5
ITM00085,USR6618,Smartphone,Home,Apple,194.78,Used,2,984,0,0.752,57:55.5
ITM00086,USR7736,Smartphone,Home,Nike,88.3,Like New,3,868,1,0.791,57:55.5
ITM00087,USR1391,Smartwatch,Beauty,Adidas,419.04,Used,2,29,0,0.145,57:55.5
ITM00088,USR6892,Smartphone,Electronics,Adidas,276.71,New,3,956,0,0.933,57:55.5
ITM00089,USR4561,Novel Book,Beauty,Dell,98.65,Refurbished,1,669,0,0.488,57:55.5
ITM00090,USR7184,Smartphone,Sports,Chanel,361.59,Like New,2,826,0,0.629,57:55.5
ITM00091,USR4099,Desk Lamp,Home,Chanel,258,Used,2,816,0,0.642,57:55.5
ITM00092,USR7278,Lipstick,Sports,Puma,304.13,New,4,279,0,0.505,57:55.5
ITM00093,USR9392,Bluetooth Speaker,Books,LG,233.14,New,2,283,0,0.142,57:55.5
ITM00094,USR4104,Soccer Ball,Home,Sony,415.21,Refurbished,5,479,0,0.752,57:55.5
ITM00095,USR8215,Novel Book,Beauty,Adidas,415.63,Used,3,519,0,0.582,57:55.5
ITM00096,USR3454,Sneakers,Fashion,Apple,356.15,Used,1,305,1,0.119,57:55.5
ITM00097,USR9996,Lipstick,Electronics,Dell,57.17,Like New,5,694,1,0.7,57:55.5
ITM00098,USR3731,Bluetooth Speaker,Fashion,Puma,420.23,New,5,109,0,0.703,57:55.5
ITM00099,USR9154,Soccer Ball,Electronics,LG,337.15,New,5,324,0,0.548,57:55.5
ITM00100,USR6056,Desk Lamp,Sports,IKEA,350.03,Refurbished,5,206,1,0.091,57:55.5
ITM00101,USR9110,Smartwatch,Fashion,Puma,184.68,Refurbished,1,234,0,0.353,57:55.5
ITM00102,USR4840,Wireless Headphones,Sports,Sony,440.24,Like New,4,938,1,0.051,57:55.5
ITM00103,USR2028,Lipstick,Sports,Adidas,364.06,New,2,458,0,0.478,57:55.5
ITM00104,USR8385,Lipstick,Fashion,Dell,60.73,Used,5,187,0,0.906,57:55.5
ITM00105,USR1502,Soccer Ball,Books,Puma,206.85,Used,2,940,1,0.002,57:55.5
ITM00106,USR7910,Desk Lamp,Books,Chanel,443.76,Used,2,482,0,0.267,57:55.5
ITM00107,USR7938,Novel Book,Toys,Nike,28.36,Like New,5,922,0,0.8,57:55.5
ITM00108,USR5488,Soccer Ball,Electronics,Adidas,480.9,Refurbished,4,407,1,0.01,57:55.5
ITM00109,USR1206,Bluetooth Speaker,Beauty,Apple,341.19,New,2,841,1,0.01,57:55.5
ITM00110,USR6134,Novel Book,Books,Nike,317.53,New,3,509,0,0.611,57:55.5
ITM00111,USR6977,Soccer Ball,Fashion,Nike,138.93,Used,2,869,0,0.789,57:55.5
ITM00112,USR8721,Backpack,Beauty,Apple,128.15,Used,5,520,0,0.777,57:55.5
ITM00113,USR8035,Bluetooth Speaker,Beauty,Adidas,471.32,Used,1,53,1,0.78,57:55.5
ITM00114,USR2484,Lipstick,Books,Apple,152.64,Refurbished,2,398,1,0.361,57:55.5
ITM00115,USR8858,Bluetooth Speaker,Electronics,Samsung,388.88,Used,4,199,1,0.883,57:55.5
ITM00116,USR1863,Smartwatch,Sports,Puma,199.6,Used,3,391,1,0.013,57:55.5
ITM00117,USR3790,Backpack,Sports,Chanel,73.93,Like New,3,649,0,0.312,57:55.5
ITM00118,USR8408,Bluetooth Speaker,Toys,IKEA,10.3,Used,1,771,1,0.337,57:55.5
ITM00119,USR9755,Novel Book,Toys,LG,274.41,Like New,1,846,1,0.166,57:55.5
